task_id,profession,letter_type,classification_method,is_canonical,task_title,pdf_filename,source_path,file_bytes,asset_role,ai_confidence,review_flag,pending_review,import_status,source_id,case_note_text,notes
W-0036,medicine,routine_referral,convention-parser-regex,yes,6- June 2026 Recall ( Routine Referral - Nasal Polypectomy ),13 June 2026 Model Answer - Mr Brian Hughes - Nasal Polypectomy ( Routine Referral ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/6- June 2026 Recall ( Routine Referral - Nasal Polypectomy )/13 June 2026 Model Answer - Mr Brian Hughes - Nasal Polypectomy ( Routine Referral ).pdf,116018,ModelAnswer,,,no,prepared-filesystem,55d115bc80c0,,
W-0037,medicine,urgent_referral,convention-parser-regex,yes,7- May 2026 Recall ( Urgent Referral - Mandibular Malignancy ),15 May 2026 Case Notes - Mr Raymond Cole ( Urgent Referral for Mandibular Malignancy ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/7- May 2026 Recall ( Urgent Referral - Mandibular Malignancy )/15 May 2026 Case Notes - Mr Raymond Cole ( Urgent Referral for Mandibular Malignancy ).pdf,480294,CaseNotes,,,no,prepared-filesystem,56778c2baaa3,,
W-0038,medicine,urgent_referral,convention-parser-regex,yes,7- May 2026 Recall ( Urgent Referral - Mandibular Malignancy ),15 May 2026 Model Answer - Mr Raymond Cole ( Urgent Referral for Mandibular Malignancy ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/7- May 2026 Recall ( Urgent Referral - Mandibular Malignancy )/15 May 2026 Model Answer - Mr Raymond Cole ( Urgent Referral for Mandibular Malignancy ).pdf,113648,ModelAnswer,,,no,prepared-filesystem,c27239c9f7d7,,
W-0039,medicine,update_discharge,importer-hint-map,yes,8- April 2026 Recall ( Discharge to a Community Nurse ),29 April 2026 Case Notes - Mr Arthur Billington ( Discharge letter to a Community Nurse ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/8- April 2026 Recall ( Discharge to a Community Nurse )/29 April 2026 Case Notes - Mr Arthur Billington ( Discharge letter to a Community Nurse ).pdf,6452,CaseNotes,,,no,prepared-filesystem,0a19d4fa2c06,,
W-0040,medicine,update_discharge,importer-hint-map,yes,8- April 2026 Recall ( Discharge to a Community Nurse ),29 April 2026 Model Answer - Mr Arthur Billington ( Discharge letter to a Community Nurse ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/8- April 2026 Recall ( Discharge to a Community Nurse )/29 April 2026 Model Answer - Mr Arthur Billington ( Discharge letter to a Community Nurse ).pdf,105863,ModelAnswer,,,no,prepared-filesystem,10505703b8fe,,
W-0041,medicine,non_medical_referral,convention-parser-regex,yes,Corrected letters according the Most Recent Criteria,Mr Barry Jones ( non-medical profession ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Mr Barry Jones ( non-medical profession ).pdf,350140,CaseNotes-candidate,,,no,prepared-filesystem,dd688cb7b6c5,,
W-0042,medicine,Other,fallback-other,no,Corrected letters according the Most Recent Criteria,Mr Barry Jones.docx,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Mr Barry Jones.docx,12616,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,f085340ebd9b,,unclassified by deterministic rules; requires admin review before publish
W-0043,medicine,routine_referral,convention-parser-regex,yes,Corrected letters according the Most Recent Criteria,Mr Brett Collister ( Routine referral ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Mr Brett Collister ( Routine referral ).pdf,579560,CaseNotes-candidate,,,no,prepared-filesystem,7f75f2f42a20,,
W-0044,medicine,Other,fallback-other,no,Corrected letters according the Most Recent Criteria,Mr Brett Collister.docx,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Mr Brett Collister.docx,12587,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,08b3224533b3,,unclassified by deterministic rules; requires admin review before publish
W-0045,medicine,urgent_referral,convention-parser-regex,yes,Corrected letters according the Most Recent Criteria,Mrs Lucy Clarke ( Urgent referral ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Mrs Lucy Clarke ( Urgent referral ).pdf,87721,CaseNotes-candidate,,,no,prepared-filesystem,a00998c9910b,,
W-0046,medicine,Other,fallback-other,no,Corrected letters according the Most Recent Criteria,Mrs Lucy Clarke.docx,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Mrs Lucy Clarke.docx,15705,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,c6083a06a556,,unclassified by deterministic rules; requires admin review before publish
W-0047,medicine,update_discharge,importer-hint-map,yes,Corrected letters according the Most Recent Criteria,Ms Betty Johnson. ( Discharge letter ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Ms Betty Johnson. ( Discharge letter ).pdf,626004,CaseNotes-candidate,,,no,prepared-filesystem,6e901dc71bf5,,
W-0048,medicine,Other,fallback-other,no,Corrected letters according the Most Recent Criteria,Ms Betty Johnson.docx,OET/Materials ( To be Uploaded )/Writing/Medicine/Corrected letters according the Most Recent Criteria/Ms Betty Johnson.docx,12406,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,d664853c53de,,unclassified by deterministic rules; requires admin review before publish
W-0049,medicine,non_medical_referral,convention-parser-regex,yes,Extra Case Notes,Betty Weston (Occupational Therapist).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Extra Case Notes/Betty Weston (Occupational Therapist).pdf,95200,CaseNotes-candidate,,,no,prepared-filesystem,aa08f8e184ee,,
W-0050,medicine,Other,fallback-other,no,Extra Case Notes,Mr Brendan (Diplopia).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Extra Case Notes/Mr Brendan (Diplopia).pdf,70211,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,581972f09d56,,unclassified by deterministic rules; requires admin review before publish
W-0051,medicine,Other,fallback-other,no,Extra Case Notes,Mr Eleanor Bennet (15 May 2021).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Extra Case Notes/Mr Eleanor Bennet (15 May 2021).pdf,297937,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,45b6e4628479,,unclassified by deterministic rules; requires admin review before publish
W-0052,medicine,Other,fallback-other,no,Extra Case Notes,Mr James Greenbaum (Orthopaedic).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Extra Case Notes/Mr James Greenbaum (Orthopaedic).pdf,1936043,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,3edeb32af884,,unclassified by deterministic rules; requires admin review before publish
W-0053,medicine,update_discharge,importer-hint-map,yes,Extra Case Notes,Mr John Aloisius TB (Discharge Letter).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Extra Case Notes/Mr John Aloisius TB (Discharge Letter).pdf,92600,CaseNotes-candidate,,,no,prepared-filesystem,bff34310bcf8,,
W-0054,medicine,Other,fallback-other,no,Extra Case Notes,Mr Trevor Evans - Referral to GP.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Extra Case Notes/Mr Trevor Evans - Referral to GP.pdf,810868,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,dc63dcf4560f,,unclassified by deterministic rules; requires admin review before publish
